Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA-R6-A6Y0,0,0,74.9631,0.7386,8.8626,3.6928,0,0
TCGA-R6-A6Y2,0,0,1.7336,3.4672,17.5835,0,0,18.5741
TCGA-R6-A8W5,0,0,5.8359,1.2158,168.5106,0.2432,0.2432,10.6991
TCGA-R6-A8W8,0,0,11.7509,0.5875,0,0.5875,0.2938,0
TCGA-R6-A8WC,0,0,16.3695,0.5846,4.0924,0.5846,0,3.8001
TCGA-R6-A8WG,0,0,4563.2981,0.3648,1618.7523,0.3648,0,5.8373
TCGA-RE-A7BO,0,0,4.2002,3.7335,0,0.4667,0,2.3335
TCGA-S8-A6BV,0,0,1814.5726,1.8683,269.0332,2.3354,2.8024,2.8024
TCGA-S8-A6BW,0,0,1.743,0.249,0,0.249,0.249,0.249
TCGA-V5-A7RB,0,0,2.6746,3.2689,3.2689,2.0802,0.5944,0.5944
TCGA-V5-A7RC,0,0,3.8774,1.4913,11.0357,0,0,0
TCGA-V5-A7RC,0,0,4.1573,4.7969,0.9594,0.3198,0.6396,0.3198
TCGA-V5-A7RE,0,0.2939,24.3938,0.5878,1.4695,0,0,0.2939
TCGA-V5-AASV,0,0,4.4,3.2,0.8,0,0,0
TCGA-V5-AASW,0,0,2.4585,0.6146,0.6146,1.8439,0,0.3073
TCGA-V5-AASX,0,0,11.3173,0.5264,0.5264,0,0.2632,0
TCGA-VR-A8EO,0,0,2.4291,0.4049,0,0.4049,0.8097,0
TCGA-VR-A8EP,0,0,6.885,4.3814,0.313,0.9389,0,0.9389
TCGA-VR-A8EQ,0,0,5.4357,0.3197,0,0.3197,0,9.2726
TCGA-VR-A8ER,0,0,0.3826,0,0,0,0,0
TCGA-VR-A8ET,0,0,2.714,1145.6819,602.113,18.9978,1.9385,3.4894
TCGA-VR-A8EU,0,0,0.3675,1.47,0.3675,1.8376,0,0.3675
TCGA-VR-A8EW,0,0,1.9405,8.4088,0,0,0.6468,0
TCGA-VR-A8EX,0,0,1.0506,0,27.3145,0.5253,0,1.0506
TCGA-VR-A8EY,0,0,1.3698,0,0.6849,0.3425,0.6849,1.0274
TCGA-VR-A8EZ,0,0,6.2385,6.2385,1.1009,0,0.367,0
TCGA-VR-A8Q7,0,0,2.8586,3.267,4.0837,11.8428,2.0419,2.4502
TCGA-VR-AA4D,0,0,0.3772,0,6.0355,2.2633,0,2.6405
TCGA-VR-AA4G,0,0,0.981,1.9621,0,37.6063,1.6351,0.654
TCGA-VR-AA7B,0,0,1.5605,0.7803,0,0.5202,0,0.7803
TCGA-VR-AA7D,0,0,0.2359,0.9435,0,1.4152,0,0.2359
TCGA-VR-AA7I,0,0,5.5123,1.297,0,10.3761,0,0
TCGA-X8-AAAR,0,0,9.9691,0.6875,8.2503,1.0313,0.6875,0
TCGA-XP-A8T6,0,0,1.0978,158.4484,111.6092,4.0252,0.3659,10.2461
TCGA-XP-A8T8,0,0,0.7241,0,0,5.7929,0,0
TCGA-Z6-A8JD,0,0,1.5152,1.8182,0.9091,1.2121,0,2.4243
TCGA-Z6-A8JE,0,0,2.2533,3.7555,18.0264,1.5022,0.7511,0.7511
TCGA-Z6-A9VB,0,0.3344,5.0167,1.0033,0.6689,2.6756,0.3344,0
TCGA-Z6-AAPN,0,0,2.5467,17.5439,1.4148,4.2445,0,0
TCGA-ZR-A9CJ,0,0,4.0343,7.2041,1.4408,0,0.5763,1.1527
TCGA-3L-AA1B,0,0,0.9671,0.9671,14.9903,1.4507,0,0.9671
TCGA-4N-A93T,0,0.4838,91.9207,0.4838,63.8607,0.4838,0,0
TCGA-4T-AA8H,0,0,0.7311,1.4623,0,1.4623,0,0
TCGA-5M-AAT4,0,0,1.2909,0,10.327,0,0,1.2909
TCGA-5M-AAT5,0,0,5.4407,0,98.428,0.9892,0,4.9461
TCGA-5M-AAT6,0,0,2.6249,0,1.9687,0.6562,0,106.9664
TCGA-5M-AATA,0,0,7.1571,0.3976,11.5308,0.3976,0.3976,24.2545
TCGA-5M-AATE,0,0,0.6865,0,5.4918,0.6865,0,0
TCGA-A6-2675,0,0,0.5394,1.0789,15.1045,0,0.5394,3.2367
TCGA-A6-2682,0,0,2.0589,0,11.3242,1.0295,0.5147,1.5442
TCGA-A6-2684,0,0,1.8548,0.9274,0,0.9274,0,0.4637
