Cancer,labels,Hybridization.REF,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
PACA-CA,0,PCSI_0602_Pa_P_526,0.0193538,0.441523,0,10.4221,0.110428,0,0.394278
PACA-CA,0,PCSI_0602_Pa_X_526,0,0.247048,0.12091,0,0.465917,0,0.0368943
PACA-CA,0,PCSI_0594_Pa_P_526,0.33373,0.298172,0.0811236,0.29005,0,0,0.0146494
PACA-CA,0,PCSI_0609_Pa_P_526,0,0,0.286808,0,0.129347,0,0
PACA-CA,0,PCSI_0608_Pa_P_526,0,12.2382,0,39.115,0,0,0
PACA-CA,0,PCSI_0611_Pa_P_526,14.8527,0,0,5.90662,0,0,0
PACA-CA,0,PCSI_0611_Pa_X_526,0,0.400004,0,0.0581323,0,0,0.0112557
PACA-CA,0,PCSI_0528_Pa_P_526,4.19311,0.170167,0,0.0849539,0.614478,0,0.0282176
PACA-CA,0,PCSI_0531_Pa_P_526,8.09641,0.0312955,0,0.871743,1.47759,0,0
PACA-CA,0,PCSI_0476_Pa_P_526,6.36119,0.133663,0.373051,15.8036,0.15447,0,0.154644
PACA-CA,0,PCSI_0472_Pa_P_526,0.238274,0.105014,0.0887577,0.0756664,0.736074,0,0.0219842
PACA-CA,0,PCSI_0527_Pa_P_526,2.03839,0,0.321611,0.738751,1.36421,0,2.64711
PACA-CA,0,PCSI_0537_Pa_P_526,2.96848,0.145267,0.12364,0.290333,0,0,0.0482139
PACA-CA,0,PCSI_0477_Pa_P_526,6.93195,0.068151,0,2.4646,0,0,33.5343
PACA-CA,0,PCSI_0340_Pa_P_526,0.579606,0.231483,0.33684,1.05701,0.0576334,0,0
PACA-CA,0,PCSI_0449_Pa_P_526,17.2584,0.0438786,0,4.32627,0,0,0
PACA-CA,0,PCSI_0655_Pa_P_526,5.08223,0.308583,0.756813,10.8802,0.579045,0,0.241525
PACA-CA,0,PCSI_0652_Pa_P_526,6.74905,0.243811,0.0751145,3.51211,0.22285,0,0.0927231
PACA-CA,0,PCSI_0677_Pa_P_526,0,0.237096,0.068967,0.00632854,0,0,0
PACA-CA,0,PCSI_0694_Pa_P_526,0.729753,3.46996,0.407339,0.938992,0.0861037,0,0.789927
PACA-CA,0,PCSI_0710_Pa_P_526,0.0268206,0.026753,0.464788,0.0937252,0.0607262,0,0.0218633
PAEN-AU,0,8070182,8.87,0.45,0,145.16,0.03,0,0.01
PAEN-AU,0,8068130,0,4.67,0.32,0.44,0,0,0
PAEN-AU,0,8068205,0.08,0.11,4.35,2.85,0.17,0,0.03
PAEN-AU,0,8067343,0,0,2.27,0.06,0,0,0
PAEN-AU,0,8068586,0,0.14,0.26,43.14,0,0,0
